"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-009","반포23주차장","18654","1354573","2021/10"
"PLT-007","양화2주차장","539","47624","2021/10"
"PLT-009","반포1주차장","7623","531291","2021/10"
"PLT-005","뚝섬4주차장","5394","507776","2021/10"
"PLT-001","강서1주차장","2288","159003","2021/10"
"PLT-007","양화1주차장","3647","356331","2021/10"
"PLT-003","망원1주차장","366","31843","2021/10"
"PLT-011","잠실1234주차장","13140","1088900","2021/10"
"PLT-004","이촌2주차장","6358","465324","2021/10"
"PLT-009","반포1주차장","6950","484975","2021/10"
"PLT-005","뚝섬3주차장","2982","275717","2021/10"
"PLT-008","여의도4주차장","2196","593287","2021/10"
"PLT-003","망원23주차장","5163","516880","2021/10"
"PLT-007","양화1주차장","2513","262901","2021/10"
"PLT-005","뚝섬2주차장","7532","830041","2021/10"
"PLT-004","이촌2주차장","3340","233945","2021/10"
"PLT-009","반포1주차장","12337","825181","2021/10"
"PLT-008","여의도1주차장","40948","3905577","2021/10"
"PLT-005","뚝섬3주차장","3582","317575","2021/10"
"PLT-006","광나루3주차장","5949","349427","2021/10"
"PLT-004","이촌1주차장","732","49407","2021/10"
"PLT-004","이촌34주차장","14478","1147574","2021/10"
"PLT-003","망원1주차장","5469","416418","2021/10"
"PLT-008","여의도2주차장","17980","2118474","2021/10"
"PLT-010","잠원1-6주차장","17678","1487010","2021/10"
"PLT-005","뚝섬1주차장","1466","145563","2021/10"
"PLT-006","광나루12주차장","4416","337877","2021/10"
"PLT-010","잠원1-6주차장","8509","722107","2021/10"
"PLT-006","광나루12주차장","2140","164834","2021/10"
"PLT-003","망원23주차장","2221","229621","2021/10"
"PLT-009","반포23주차장","7671","541216","2021/10"
"PLT-004","이촌1주차장","424","23693","2021/10"
"PLT-006","광나루12주차장","6123","466355","2021/10"
"PLT-010","잠원1-6주차장","24713","2198895","2021/10"
"PLT-008","여의도5주차장","3937","994671","2021/10"
"PLT-005","뚝섬2주차장","11232","1195260","2021/10"
"PLT-006","광나루3주차장","4401","268752","2021/10"
"PLT-011","잠실1234주차장","39499","2863495","2021/10"
"PLT-008","여의도2주차장","21768","2612844","2021/10"
"PLT-004","이촌1주차장","1171","75425","2021/10"
"PLT-008","여의도4주차장","2462","653634","2021/10"
"PLT-004","이촌2주차장","4633","341306","2021/10"
"PLT-009","반포1주차장","13825","927441","2021/10"
"PLT-004","이촌2주차장","4178","302801","2021/10"
"PLT-002","난지123주차장","4828","351166","2021/10"
"PLT-011","잠실1234주차장","15771","1295457","2021/10"
"PLT-002","난지123주차장","24304","1691601","2021/10"
"PLT-004","이촌2주차장","5940","436131","2021/10"
"PLT-007","양화1주차장","317","33602","2021/10"
"PLT-001","강서1주차장","1552","117811","2021/10"
"PLT-009","반포1주차장","8342","576623","2021/10"
"PLT-005","뚝섬2주차장","842","91475","2021/10"
"PLT-006","광나루12주차장","5018","388328","2021/10"
"PLT-010","잠원1-6주차장","19966","1731859","2021/10"
"PLT-009","반포1주차장","6296","444392","2021/10"
"PLT-008","여의도1주차장","20709","1957752","2021/10"
"PLT-004","이촌2주차장","366","23392","2021/10"
"PLT-005","뚝섬1주차장","2600","236231","2021/10"
"PLT-004","이촌1주차장","93","8015","2021/10"
"PLT-004","이촌34주차장","6600","538003","2021/10"
"PLT-006","광나루3주차장","816","45587","2021/10"
"PLT-002","난지123주차장","20010","1352485","2021/10"
"PLT-006","광나루3주차장","3038","197521","2021/10"
"PLT-005","뚝섬3주차장","2298","228680","2021/10"
"PLT-005","뚝섬1주차장","1235","115930","2021/10"
"PLT-007","양화2주차장","227","18355","2021/10"
"PLT-007","양화1주차장","818","74823","2021/10"
"PLT-005","뚝섬2주차장","2584","281783","2021/10"
"PLT-004","이촌2주차장","986","76617","2021/10"
"PLT-005","뚝섬3주차장","7396","620015","2021/10"
"PLT-005","뚝섬1주차장","3933","339840","2021/10"
"PLT-005","뚝섬2주차장","13441","1458298","2021/10"
"PLT-008","여의도1주차장","18360","1630421","2021/10"
"PLT-005","뚝섬1주차장","1809","173106","2021/10"
"PLT-009","반포1주차장","5721","405078","2021/10"
"PLT-005","뚝섬4주차장","7052","646861","2021/10"
"PLT-008","여의도5주차장","2904","723971","2021/10"
"PLT-008","여의도1주차장","22938","2258499","2021/10"
"PLT-004","이촌34주차장","8189","674455","2021/10"
"PLT-011","잠실1234주차장","22752","1653799","2021/10"
"PLT-004","이촌2주차장","2531","184362","2021/10"
"PLT-005","뚝섬2주차장","5832","636983","2021/10"
"PLT-004","이촌2주차장","5602","412998","2021/10"
"PLT-004","이촌1주차장","796","53457","2021/10"
"PLT-006","광나루3주차장","6558","387539","2021/10"
"PLT-002","난지123주차장","17261","1147982","2021/10"
"PLT-008","여의도3주차장","14573","3106853","2021/10"
"PLT-008","여의도3주차장","17016","3896233","2021/10"
"PLT-003","망원23주차장","4540","457258","2021/10"
"PLT-005","뚝섬4주차장","10177","917829","2021/10"
"PLT-007","양화1주차장","1831","176547","2021/10"
"PLT-007","양화2주차장","484","43797","2021/10"
"PLT-001","강서1주차장","4258","302069","2021/10"
"PLT-003","망원1주차장","1790","130721","2021/10"
"PLT-008","여의도2주차장","5872","600926","2021/10"
"PLT-005","뚝섬3주차장","3884","334378","2021/10"
"PLT-005","뚝섬3주차장","505","43029","2021/10"
"PLT-004","이촌1주차장","1606","106660","2021/10"
"PLT-006","광나루3주차장","13026","774330","2021/10"
"PLT-005","뚝섬3주차장","7793","646400","2021/10"
"PLT-005","뚝섬1주차장","4117","353755","2021/10"
"PLT-005","뚝섬3주차장","3252","293635","2021/10"
"PLT-008","여의도1주차장","48901","4969075","2021/10"
"PLT-007","양화345주차장","8857","767223","2021/10"
"PLT-005","뚝섬1주차장","244","21796","2021/10"
"PLT-010","잠원1-6주차장","14407","1251672","2021/10"
"PLT-006","광나루12주차장","3614","279196","2021/10"
"PLT-004","이촌2주차장","2806","200237","2021/10"
"PLT-003","망원23주차장","3717","387045","2021/10"
"PLT-009","반포23주차장","13664","1023949","2021/10"
"PLT-005","뚝섬1주차장","3759","330770","2021/10"
"PLT-005","뚝섬3주차장","6961","590627","2021/10"
"PLT-006","광나루3주차장","11446","680562","2021/10"
"PLT-005","뚝섬4주차장","12487","1110411","2021/10"
"PLT-002","난지123주차장","34326","2248461","2021/10"
"PLT-004","이촌1주차장","500","29596","2021/10"
"PLT-006","광나루3주차장","3724","238434","2021/10"
"PLT-009","반포1주차장","834","55441","2021/10"
"PLT-008","여의도1주차장","3333","409713","2021/10"
"PLT-004","이촌34주차장","1074","84417","2021/10"
"PLT-011","잠실1234주차장","3817","219456","2021/10"
"PLT-005","뚝섬3주차장","5838","507037","2021/10"
"PLT-005","뚝섬1주차장","3161","288965","2021/10"
"PLT-007","양화1주차장","4844","499123","2021/10"
